date,is_simulator,mission_type,aircraft_type,custom_aircraft_type,tail_number,origin,destinations,copilot_name,hour_breakdown,total_flight_hours,pilot_role,is_pic,remarks,organization_id,id,created_date,updated_date,created_by_id,is_sample
"2022-06-06","","Training","AH-64E","","1209031","","[]","","[{""mode"":""D"",""duration"":1.3,""seat_position"":""B""}]","1.3","PI","","","","688036ee6fd7872da0fa08d7","2025-07-23T01:12:14.333000","2025-07-23T18:42:49.651000","687810a9294a03ec0724d15f",""
"2022-07-06","","Training","AH-64E","","1209025","","[]","","[{""mode"":""NS"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036fc0a1b90a4f5358456","2025-07-23T01:12:28.319000","2025-07-23T18:42:39.531000","687810a9294a03ec0724d15f",""
"2022-05-02","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036d5c8518fed100db383","2025-07-23T01:11:49.327000","2025-07-23T18:43:04.075000","687810a9294a03ec0724d15f",""
"2022-05-13","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036ddc950a087a8a8efce","2025-07-23T01:11:57.306000","2025-07-23T18:42:59.515000","687810a9294a03ec0724d15f",""
"2022-05-20","true","Training","AH-64E","","","","[]","","[{""mode"":""W"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036e2d1785c00f3fbc180","2025-07-23T01:12:02.308000","2025-07-23T18:42:56.723000","687810a9294a03ec0724d15f",""
"2022-06-23","","Training","AH-64E","","1209035","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036f43a10d8b2b3a1fb2c","2025-07-23T01:12:20.319000","2025-07-23T18:42:43.992000","687810a9294a03ec0724d15f",""
"2022-06-24","","Training","AH-64E","","1109022","","[]","","[{""mode"":""D"",""duration"":1.3,""seat_position"":""B""}]","1.3","PI","","","","688036f5b05fe8fb79d10882","2025-07-23T01:12:21.306000","2025-07-23T18:42:43.435000","687810a9294a03ec0724d15f",""
"2022-07-20","","Training","AH-64E","","1503070","","[]","","[{""mode"":""NS"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036fd855a5821a2829041","2025-07-23T01:12:29.291000","2025-07-23T18:42:38.987000","687810a9294a03ec0724d15f",""
"2022-06-01","","Training","AH-64E","","1903269","","[]","","[{""mode"":""D"",""duration"":1.1,""seat_position"":""B""}]","1.1","PI","","","","688036eae7b29dd455abe796","2025-07-23T01:12:10.296000","2025-07-23T18:42:52.081000","687810a9294a03ec0724d15f",""
"2022-06-30","true","Training","AH-64E","","","","[]","","[{""mode"":""NS"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036f9b05fe8fb79d1089b","2025-07-23T01:12:25.338000","2025-07-23T18:42:41.186000","687810a9294a03ec0724d15f",""
"2022-06-02","","Training","AH-64E","","1703172","","[]","","[{""mode"":""D"",""duration"":1.2,""seat_position"":""B""}]","1.2","PI","","","","688036ebb05fe8fb79d10833","2025-07-23T01:12:11.316000","2025-07-23T18:42:51.322000","687810a9294a03ec0724d15f",""
"2022-06-07","true","Training","AH-64E","","","","[]","","[{""mode"":""NS"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036ef6fd7872da0fa08df","2025-07-23T01:12:15.348000","2025-07-23T18:42:49.010000","687810a9294a03ec0724d15f",""
"2022-06-13","","Training","AH-64E","","1503070","","[]","","[{""mode"":""D"",""duration"":1,""seat_position"":""B""}]","1","PI","","","","688036f0855a5821a2829004","2025-07-23T01:12:16.341000","2025-07-23T18:42:48.460000","687810a9294a03ec0724d15f",""
"2022-06-29","","Training","AH-64E","","1803234","","[]","","[{""mode"":""NS"",""duration"":0.6,""seat_position"":""B""}]","0.6","PI","","","","688036f8c8518fed100db48d","2025-07-23T01:12:24.311000","2025-07-23T18:42:42.323000","687810a9294a03ec0724d15f",""
"2022-07-22","","Training","AH-64E","","1703188","","[]","","[{""mode"":""NS"",""duration"":1.7,""seat_position"":""F""}]","1.7","PI","","","","688036fe2354b00eddc25b24","2025-07-23T01:12:30.310000","2025-07-23T18:42:38.396000","687810a9294a03ec0724d15f",""
"2022-07-25","","Training","AH-64E","","1903302","","[]","","[{""mode"":""NS"",""duration"":1.4,""seat_position"":""F""}]","1.4","PI","","","","688036ffba78cdef4c05bb0d","2025-07-23T01:12:31.300000","2025-07-23T18:42:37.828000","687810a9294a03ec0724d15f",""
"2022-05-23","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036e5f8083c28a03cab9d","2025-07-23T01:12:05.305000","2025-07-23T18:42:55.003000","687810a9294a03ec0724d15f",""
"2022-07-28","","Training","AH-64E","","1703152","","[]","","[{""mode"":""NS"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688037027d902dc72713d845","2025-07-23T01:12:34.334000","2025-07-23T18:42:36.130000","687810a9294a03ec0724d15f",""
"2022-08-05","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688037076fd7872da0fa0963","2025-07-23T01:12:39.297000","2025-07-23T18:42:33.232000","687810a9294a03ec0724d15f",""
"2022-08-11","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","6880370fb6f49484bf06bbf6","2025-07-23T01:12:47.306000","2025-07-23T18:42:28.554000","687810a9294a03ec0724d15f",""
